Word,Query,biden-tinggal-6-suara-pantau-perkembangan-terakhir-hasil-pemilu-as-di-situs-ini,menerka-harga-iphone-12-di-indonesia-bakal-semahal-apa-,hak-spesial-donald-trump-di-twitter-bakal-dicabut-jika-kalah-pemilu,huawei-nova-8-se-meluncur-dengan-fast-charging-66w-ini-harganya,oppo-k7x-meluncur-smartphone-5g-harga-rp-3-jutaan,ponsel-gaming-black-shark-3-turun-harga-di-indonesia,samsung-tak-sengaja-bocorkan-galaxy-note-20-fe-di-situs-resminya,internet-buatan-elon-musk-diuji-coba-kecepatan-download-tembus-160-mbps,inilah-daftar-ponsel-terkencang-oktober-2020-versi-antutu,game-playstation-5-sudah-bisa-dipesan-ini-daftar-harganya
kompa,0,3,1,1,1,1,2,1,1,1,2
com,0,4,1,1,1,1,2,1,2,1,2
pemilu,0,9,0,2,0,0,0,0,0,0,0
presiden,0,6,0,4,0,0,0,0,0,0,0
amerika,0,3,0,1,0,0,0,0,2,0,0
serikat,0,2,0,1,0,0,0,0,2,0,0
pilpr,0,6,0,0,0,0,0,0,0,0,0
berlangsung,0,1,0,0,0,0,0,0,0,0,0
sengit,0,2,0,0,0,0,0,0,0,0,0
penghitungan,0,2,0,0,0,0,0,0,0,0,0
suara,0,13,0,0,0,0,0,0,0,0,0
untuk,0,1,2,0,1,1,0,1,4,0,1
kedua,0,1,0,0,0,0,0,0,0,1,1
kandidat,0,1,0,0,0,0,0,0,0,0,0
joe,0,3,0,1,0,0,0,0,0,0,0
biden,0,7,0,1,0,0,0,0,0,0,0
dari,0,4,5,1,3,3,0,5,7,2,2
partai,0,2,0,1,0,0,0,0,0,0,0
demokrat,0,1,0,1,0,0,0,0,0,0,0
dan,0,4,8,2,2,8,3,1,4,5,4
donald,0,4,0,3,0,0,0,0,0,0,0
trump,0,7,0,8,0,0,0,0,0,0,0
republik,0,1,0,0,0,0,0,0,0,0,0
hanya,0,3,0,0,0,0,0,2,0,1,0
beda,0,1,0,0,0,0,0,0,0,0,0
tipi,0,1,0,0,0,0,0,0,0,0,0
saat,0,1,5,1,0,0,1,0,1,0,4
berita,0,1,0,1,0,0,0,0,0,0,0
