Term,Query,xiaomi-bikin-pc-mini-seukuran-telapak-tangan,apakah-blokir-huawei-bakal-dicabut-setelah-trump-lengser,microsoft-mulai-hapus-menu-control-panel-di-windows-10,review-oppo-reno4-f-ponsel-ramping-berkamera-mumpuni,zuckerberg-dikecam-karena-pemilih-gaib-warganet-indonesia-usulkan-jadi,xiaomi-pamer-kamera-telescopic-untuk-ponsel,twit-protes-pilpres-as-trump-ditandai-dan-disembunyikan-twitter,samsung-perkenalkan-galaxy-m21s-ini-bedanya-dari-galaxy-m21,nokia-6300-dan-nokia-8000-bakal-lahir-kembali-dengan-4g,joe-biden-jadi-presiden-as-perusahaan-raksasa-teknologi-terancam
di,1,5,6,11,12,6,12,8,12,2,4
dengan,1,4,3,4,16,2,7,7,6,5,5
kamera,2,1,0,0,9,0,14,0,12,0,0
untuk,2,4,2,2,8,1,1,1,1,0,1
belakang,2,1,0,0,3,0,1,0,2,0,0
dan,3,5,5,1,11,5,4,7,6,8,8
serta,1,0,1,0,0,0,0,0,1,0,1
f,1,0,0,0,18,0,2,0,0,0,0
depan,1,0,0,0,4,0,0,0,3,0,1
fitur,1,0,0,0,1,0,1,0,0,2,0
bokeh,1,0,0,0,1,0,0,0,0,0,0
video,5,0,0,0,0,0,1,0,0,0,0
ultra,1,0,0,0,0,0,0,0,2,0,0
mendukung,1,0,0,0,0,0,0,0,1,0,0
merekam,1,0,0,0,0,0,0,0,0,0,0
penstabil,1,0,0,0,0,0,0,0,0,0,0
steadi,1,0,0,0,0,0,0,0,0,0,0
perekaman,2,0,0,0,0,0,0,0,0,0,0
frame,1,0,0,0,0,0,0,0,0,0,0
rate,1,0,0,0,0,0,0,0,0,0,0
fp,1,0,0,0,0,0,0,0,0,0,0
gerak,1,0,0,0,0,0,0,0,0,0,0
lambat,1,0,0,0,0,0,0,0,0,0,0
slow,1,0,0,0,0,0,0,0,0,0,0
motion,1,0,0,0,0,0,0,0,0,0,0
